ga:아 俄娥峨我莪餓
gaku:악 岳嶽愕鄂鍔顎鰐
gan:안 岸
gau:오 傲敖熬鰲
ge:아 牙芽
ge:애 崖涯碍艾
ge:예 乂刈
gei:예 倪猊藝
gei:운 芸
gem:암 岩巖癌
gen:아 訝
gen:안 眼雁顔
gen:언 彦
getu:예 霓
geu:요 堯嶢
gi:아 蛾
gi:의 儀宜疑義艤蟻誼議
go:오 五伍午
go:의 擬
gom:엄 儼嚴
gom:음 吟
gon:언 言
gon:원 阮
gon:은 垠銀
gu:오 吾寤悟晤梧蜈誤
gu:우 愚牛虞
guu:우 偶寓藕遇隅
gwa:와 臥
gwan:완 玩翫
gwe:와 瓦
gwen:원 元原愿源願
gwetu:월 月
gwi:외 巍
gyag:영 迎
gyaku:역 逆
gyaku:학 虐
gyo:아 衙
gyo:어 圄御禦語馭魚
gyog:응 凝
gyoku:옥 獄玉
ha:아 阿
hai:애 埃
haku:악 堊幄握渥
han:안 安按案鞍
hau:오 懊
he:아 亞雅鴉
hei:예 叡曳睿裔
hem:엄 俺奄掩
hem:염 炎艶閻
hen:안 晏
hen:언 焉
hen:연 嚥宴延捐沿演烟煙燕筵衍鉛
hep:압 壓
hep:엽 曄
heti:알 軋
heu:묘 杳
heu:요 凹夭妖姚拗搖曜燿瑤窈窯耀腰要謠遙
i:액 縊
i:의 依倚意懿椅矣衣
i:이 異以伊夷姨已怡痍移肄苡貽
i:희 噫
iku:육 毓育
im:음 淫
in:윤 允尹胤
in:인 咽印因姻寅引湮茵蚓
ip:읍 揖
itu:일 一壹溢逸鎰
iu:유 幼幽悠
ja:야 也冶夜揶椰爺耶
jag:앙 央怏殃秧
jag:앵 櫻罌鶯
jag:양 佯恙揚暘楊樣洋瀁煬痒瘍陽
jag:영 塋影映暎楹榮潁瀛營瑛瓔盈穎纓英霙
jag:형 瑩
jaku:애 隘
jaku:액 厄扼掖液腋
jaku:약 約葯藥
jaku:역 亦役疫繹譯
jaku:이 易
jaku:익 益
jaku:혁 奕
jo:여 予余歟與輿餘
jo:예 譽豫
jog:승 蠅
jog:용 傭熔
jog:잉 孕
joku:욕 慾欲浴
joku:익 翊翌翼
ju:옹 壅擁雍
ju:유 兪喩愈愉攸楡楢油游猶猷瑜癒臾萸誘諛諭踰遊逾酉釉
jug:옹 癰
jug:용 俑勇容庸慂榕涌湧溶用甬蓉踊鎔
jug:융 融
jui:유 由
juu:유 裕
ka:가 可呵暇柯歌珂苛訶軻
ka:하 下何厦夏廈河瑕荷蝦賀遐霞
kag:강 剛岡崗康慷糠綱鋼
kag:경 硬
kag:앙 仰
kag:항 亢伉巷抗杭桁缸航行
kag:행 倖幸
kag:형 衡
kai:개 凱慨改漑鎧
kai:계 械
kai:괴 拐
kai:해 亥垓孩害海蟹該諧邂駭
kai:핵 劾
kaku:각 各恪角
kaku:학 壑學
kaku:확 確
kam:감 憾敢柑橄甘疳瞰
kam:함 函含咸啣喊檻涵艦銜陷
kan:간 侃刊干幹杆桿看稈竿肝
kan:감 邯
kan:한 寒悍旱汗漢瀚罕翰閑限
kap:갑 匣
kap:개 盖蓋
kap:압 狎
kap:합 盒闔
kap:흡 洽
katu:갈 喝曷葛褐
katu:할 割
kau:고 尻拷攷槁皐睾稿羔考膏藁誥高
kau:호 壕好昊晧毫浩濠皓縞蒿號豪鎬
kau:효 效淆爻肴
ke:가 佳佳假價加嘉嫁架枷痂稼街袈跏
ke:개 介价疥皆芥
ke:계 堺屆戒界誡階
ke:해 偕咳懈楷解
keg:경 勍瓊痙脛莖
keg:형 刑型形
kei:게 憩
kei:계 係啓溪稽系繼計谿
kei:예 詣
kei:해 奚
kei:혜 兮蹊醯
keki:격 檄覡
keki:극 劇
kem:감 嵌減監鑑鑒
kem:검 儉檢瞼
kem:겸 兼箝謙鉗
kem:함 緘
kem:험 險
ken:간 奸姦揀柬澗簡艱諫
ken:건 乾件健愆虔鍵
ken:견 堅牽絹繭肩譴遣
ken:연 硯
ken:현 見俔弦現絃舷賢
kep:갑 岬甲胛
kep:겸 慊
kep:압 押
kep:협 協夾峽挾狹莢鋏
kep:흡 恰
ketu:갈 碣竭
ketu:걸 傑杰
ketu:게 偈
ketu:결 潔結缺
ketu:혈 孑
keu:각 覺
keu:고 敲
keu:교 交僑咬喬嬌巧攪校橋狡皎矯絞翹膠蕎蛟較轎郊餃驕
keu:규 叫竅
keu:요 僥邀
keu:효 哮嚆孝曉梟酵
ki:개 愾
ki:계 季悸癸
ki:궤 机
ki:규 揆槻窺葵規
ki:기 豈企伎其冀器圻埼奇妓寄岐崎幾忌技旗棋棄機氣汽沂淇畸畿碁磯祁祈祺箕綺羈肌譏飢饑騎騏驥
ki:의 毅
ki:희 僖嬉希憙晞曦熙熹犧稀
kiku:국 菊鞠鞫
kim:금 擒檎琴禽
kin:균 鈞
kin:근 僅勤懃瑾芹菫覲
kip:급 及
kitu:길 佶吉拮
kitu:흘 屹
kiu:구 仇咎毬求球臼舅逑
kiu:규 糾赳
kiu:정 柾
kiu:휴 烋
ko:가 哥
ko:개 個箇
ko:기 基己朞期杞欺紀記起
ko:호 互壺弧扈湖狐瑚糊葫蝴護
ko:희 喜禧
kog:강 江絳講
kog:굉 肱
kog:항 降恒港肛
kog:홍 弘汞洪虹訌
koku:각 刻殼
koku:고 告
koku:곡 哭斛梏穀谷
koku:국 國
koku:극 克剋
kom:감 勘坎感戡紺
kom:검 劍劒
kom:금 今禁衾衿襟金
kom:흠 欠欽
kon:간 墾懇艮
kon:건 巾建腱蹇
kon:곤 困坤崑昆梱棍滾袞
kon:근 斤根槿筋謹近
kon:한 恨
kon:헌 憲獻
kon:혼 婚昏混渾琿
kon:흔 欣
kop:겁 劫怯
kop:급 急汲級
kop:읍 泣
kop:합 合哈蛤閤
kop:협 脅脇
kop:흡 吸
koti:갈 蝎
koti:흘 吃
kotu:걸 乞
kotu:홀 忽惚
kou:후 侯候厚后喉後
ku:가 家
ku:고 賈古叩呱固姑孤庫故枯沽痼股苦菰蠱袴辜錮雇顧
ku:공 公功工攻貢
ku:구 丘久九具勾口垢寇嶇廐懼拘救枸柩構溝灸狗玖瞿矩究舊苟衢購邱鉤駒驅鳩
ku:귀 句
ku:호 呼滸琥虎
ku:홍 哄紅
ku:후 吼嗅朽煦
ku:휴 休
kun:군 君群裙軍
kun:훈 勳熏燻訓
kutu:굴 堀屈
kuu:강 腔
kuu:공 孔控空
kwa:과 戈果科菓課過鍋
kwa:위 僞
kwa:화 樺火譁貨
kwag:광 光壙廣曠洸胱
kwag:황 恍慌荒
kwai:외 嵬
kwaku:곽 槨
kwaku:확 廓擴
kwan:관 冠官棺款灌管罐菅觀貫
kwan:완 完浣緩莞
kwan:한 澣
kwan:환 丸喚奐宦幻患換歡桓渙煥環驩
kwatu:괄 括
kwatu:활 滑活猾豁
kwe:과 寡瓜誇跨
kwe:괘 卦掛
kwe:괴 乖傀塊怪
kwe:비 匕
kwe:와 蝸
kwe:화 化花華
kwe:회 恢悔晦檜灰獪膾誨
kwe:훼 喙
kweg:형 螢
kwei:계 桂
kwei:규 圭奎珪
kwen:견 犬
kwen:관 慣關
kwen:권 倦券勸卷圈拳捲權
kwen:연 娟涓
kwen:현 懸玄眩絢縣衒鉉
kwen:훤 喧暄
kweti:괄 刮
kwetu:결 決
kwetu:굴 掘
kwetu:궐 厥獗蕨蹶
kwetu:혈 穴血
kwetu:휼 譎
kwi:괴 愧
kwi:궤 櫃詭軌
kwi:귀 歸貴鬼
kwi:규 逵
kwi:위 危
kwi:훼 卉
kwi:휘 徽揮暉輝
kwin:군 窘
kwin:균 菌
kwyag:광 匡狂筐
kwyag:형 兄
kwyag:황 況
kwyaku:규 硅
kwyaku:확 攫
kya:가 伽伽茄迦
kyag:강 姜彊疆羌薑襁
kyag:갱 坑粳
kyag:경 更京傾勁卿境庚徑慶憬敬景梗烱磬竟競絅經耕耿警輕逕鏡頃頸驚
kyag:행 杏
kyag:향 享向嚮響饗
kyag:형 炯荊
kyaku:각 却脚
kyaku:객 喀
kyaku:격 格激膈
kyaku:극 戟
kyaku:학 謔
kyaku:혁 赫
kyo:거 倨去居巨拒据據擧渠炬距踞遽鉅
kyo:허 墟
kyog:공 供共恐恭拱
kyog:긍 兢矜
kyog:흉 兇凶匈洶
kyoku:곡 曲
kyoku:국 局
kyoku:극 棘極
kyoku:욱 旭
kyug:궁 宮弓穹窮
ma:마 摩磨魔
mag:망 妄忘忙望網罔芒茫
mai:매 媒昧
mai:미 米
maku:막 寞幕漠
man:만 滿漫瞞饅
matu:말 末沫茉
me:마 瑪痲碼馬
